LEMMA,Votmesus,P-vaartus,Fookus suhteline sagedus,Referents suhteline sagedus
valeuudine,85.11012830570517,2.822013084409813e-20,0.004594180704441042,0.0
roonemaa,77.89276582339423,1.087890828728938e-18,0.007656967840735069,1.1641348513365348e-06
valeuudis,74.0049840491658,7.792004472760739e-18,0.007656967840735069,1.7186863623368477e-06
teabe,61.28837788647016,4.929818205463068e-15,0.004594180704441042,6.032335138743862e-08
allikapesu,56.740085537136785,4.973922954745759e-14,0.0030627871362940277,0.0
klaassen,45.781827663580984,1.3218410977189433e-11,0.004594180704441042,8.19127613576798e-07
valeinfo,36.163593100585956,1.8142853293732827e-09,0.004594180704441042,4.078705197319096e-06
termin,35.475948915935476,2.5821934285863226e-09,0.006125574272588055,2.6843891367410184e-05
silverman,35.28793369934344,2.8438855393646614e-09,0.0030627871362940277,1.6509548800772675e-07
uudis,35.02501756954024,3.2549634668029275e-09,0.009188361408882083,0.000186270042649128
levima,29.88868587807241,4.575751686318497e-08,0.006125574272588055,5.4214818331152725e-05
tekstidautoristsandrane,28.370042768568393,1.00203968208689e-07,0.0015313935681470138,0.0
valeuut,28.370042768568393,1.00203968208689e-07,0.0015313935681470138,0.0
välissõjaväeluure,28.370042768568393,1.00203968208689e-07,0.0015313935681470138,0.0
sõde,28.370042768568393,1.00203968208689e-07,0.0015313935681470138,0.0
libauut,28.370042768568393,1.00203968208689e-07,0.0015313935681470138,0.0
smarted,28.370042768568393,1.00203968208689e-07,0.0015313935681470138,0.0
desinformatsioonivõte,28.370042768568393,1.00203968208689e-07,0.0015313935681470138,0.0
erukinder,28.370042768568393,1.00203968208689e-07,0.0015313935681470138,0.0
lugemino,28.370042768568393,1.00203968208689e-07,0.0015313935681470138,0.0
ajakirjanik,25.375640337246384,4.7183886372286176e-07,0.006125574272588055,9.595857749126025e-05
avaldamine,23.886073563571934,1.0220849141444043e-06,0.004594180704441042,3.1766065179743114e-05
näiteks,23.56934180697999,1.2049210021614987e-06,0.007656967840735069,0.00027659420745991943
eesti,21.95056777752852,2.797641209448281e-06,0.018376722817764167,0.003229060317766715
halvustama,21.715781201057723,3.161795174769547e-06,0.0030627871362940277,4.950748031411191e-06
ajakirjandus,21.23204811841876,4.069035570454888e-06,0.004594180704441042,4.963236023452801e-05
misinformation,20.88873042213793,4.867498840933787e-06,0.0015313935681470138,1.587456615458911e-08
reklaamlugu,19.67037589922662,9.201685126103073e-06,0.0015313935681470138,2.963252348856634e-08
