LEMMA,Votmesus,P-vaartus,Fookus suhteline sagedus,Referents suhteline sagedus
valeuudine,4341076.796324646,0.0,0.004594180704441042,0.0
allikapesu,2894051.1944869785,0.0,0.0030627871362940277,0.0
erukinder,1447025.595712097,0.0,0.0015313935681470138,0.0
välissõjaväeluure,1447025.595712097,0.0,0.0015313935681470138,0.0
desinformatsioonivõte,1447025.595712097,0.0,0.0015313935681470138,0.0
smarted,1447025.595712097,0.0,0.0015313935681470138,0.0
libauut,1447025.595712097,0.0,0.0015313935681470138,0.0
lugemino,1447025.595712097,0.0,0.0015313935681470138,0.0
tekstidautoristsandrane,1447025.595712097,0.0,0.0015313935681470138,0.0
sõde,1447025.595712097,0.0,0.0015313935681470138,0.0
valeuut,1447025.595712097,0.0,0.0015313935681470138,0.0
teabe,217048.15294669877,0.0,0.004594180704441042,6.032335138743862e-08
misinformation,90437.22617737303,0.0,0.0015313935681470138,1.587456615458911e-08
reklaamlugu,49895.504797626585,0.0,0.0015313935681470138,2.963252348856634e-08
sensatsioonilisus,40193.212504298164,0.0,0.0015313935681470138,3.7040654360707925e-08
sõtluma,37101.27320255864,0.0,0.0015313935681470138,4.0215567591625745e-08
silverman,36629.61621061175,0.0,0.0030627871362940277,1.6509548800772675e-07
vabaühing,34451.039515648605,0.0,0.0015313935681470138,4.3390480822543565e-08
roonemaa,32728.21989377422,0.0,0.007656967840735069,1.1641348513365348e-06
disinformation,25837.780036119042,0.0,0.0015313935681470138,5.8206742566826736e-08
kvaliteetmeedia,23719.765411078177,0.0,0.0015313935681470138,6.349826461835644e-08
valeuudis,22197.338253658425,0.0,0.007656967840735069,1.7186863623368477e-06
klaassen,16754.951694787193,0.0,0.004594180704441042,8.19127613576798e-07
luureanalüütik,15899.403726569139,0.0,0.0015313935681470138,9.524739692753465e-08
tennus,14046.813194969272,0.0,0.0015313935681470138,1.0794704985120595e-07
kodanikuorganisatsioon,12260.947324711167,0.0,0.0015313935681470138,1.2382161600579505e-07
rooda,8314.252191163547,0.0,0.0015313935681470138,1.8308666298292773e-07
uudismeedia,6545.6378550386835,0.0,0.0015313935681470138,2.3282697026730694e-07
meediatarbija,4423.162593776973,0.0,0.0015313935681470138,3.4500723775973665e-07
meediasisu,4097.230085343272,0.0,0.0015313935681470138,3.7252315242769113e-07
refereerimine,4051.30035911167,0.0,0.0015313935681470138,3.7675637006891487e-07
valeinfo,3370.539195604378,0.0,0.004594180704441042,4.078705197319096e-06
meediapädevus,2021.8168396545916,0.0,0.0015313935681470138,7.556293489584416e-07
kodanikuaktiivsus,1479.0949300250372,0.0,0.0015313935681470138,1.032905104458598e-06
tööpraktika,1465.5758342559939,0.0,0.0015313935681470138,1.0424298441513515e-06
keeleruum,1437.8306743375847,0.0,0.0015313935681470138,1.0625376279471643e-06
ähvardavalt,1411.1151204487935,8.07414500410572e-309,0.0015313935681470138,1.0826454117429772e-06
halvustama,1232.7850587921864,4.5737308234128836e-270,0.0030627871362940277,4.950748031411191e-06
lisakaitse,1092.577020378282,1.3559133544198149e-239,0.0015313935681470138,1.3980201260141475e-06
gru,1014.8876784833936,1.0429054534155316e-222,0.0015313935681470138,1.5049088714550476e-06
väärarusaam,997.3309766451928,6.829928272014138e-219,0.0015313935681470138,1.5313664817126962e-06
tõsiseltvõetavus,982.3750558305787,1.2171034070537874e-215,0.0015313935681470138,1.5546491787394267e-06
desinformatsioon,946.8731342363798,6.345240340031292e-208,0.0015313935681470138,1.6128559213062536e-06
kommunikatsioonispetsialist,916.7502939681422,2.2415328513732136e-201,0.0015313935681470138,1.6657711418215506e-06
termin,904.6690965482807,9.480214302584588e-199,0.006125574272588055,2.6843891367410184e-05
ebausaldusväärne,896.7775424546737,4.924313199302748e-197,0.0015313935681470138,1.7028117961822585e-06
rõhumine,783.5769544396998,2.0080430323514853e-172,0.0015313935681470138,1.9483384193732368e-06
ühiskonnateadus,722.9666297149154,3.0309121204291637e-159,0.0015313935681470138,2.1113172985603516e-06
umbusk,711.5273819464353,9.311682552702436e-157,0.0015313935681470138,2.1451830396901415e-06
holger,656.0419691730701,1.0842045045432942e-144,0.0015313935681470138,2.3261530938524576e-06
arenenum,655.4440251405979,1.4626840046836367e-144,0.0015313935681470138,2.3282697026730695e-06
rahvuskonservatiiv,620.6483954320358,5.404227550690758e-137,0.0015313935681470138,2.4584411451407e-06
bakalaureusetöö,606.7653023690593,5.653345783488969e-134,0.0015313935681470138,2.514531278886915e-06
bakalaureuseõpe,571.9927925367471,2.0693410082608566e-126,0.0015313935681470138,2.66692711397097e-06
ingl,567.7912420591719,1.697393449944758e-125,0.0030627871362940277,1.0711098936706426e-05
fake,562.5868284658745,2.300907316858397e-124,0.0015313935681470138,2.7113758992038198e-06
magistrant,548.2039481291384,3.0953198605956742e-121,0.0015313935681470138,2.782282294694318e-06
naeruvääristama,511.68028805815817,2.732959923177344e-113,0.0015313935681470138,2.980185219421529e-06
levima,443.97314843194266,1.4782392132356124e-98,0.006125574272588055,5.4214818331152725e-05
avaldamine,427.8678512214121,4.7309972120784044e-95,0.004594180704441042,3.1766065179743114e-05
paljusus,407.8107013838696,1.0982055290537333e-90,0.0015313935681470138,3.7358145683799703e-06
päevakajaline,398.3990376745658,1.2286996947055876e-88,0.0015313935681470138,3.8236538344353634e-06
peavoolumeedia,373.46541883731913,3.293626733350628e-83,0.0015313935681470138,4.077646892908789e-06
craig,366.48592493744286,1.0897500986950479e-81,0.0015313935681470138,4.154903114861123e-06
tekkepõhjus,363.1386520319414,5.836595933995786e-81,0.0015313935681470138,4.193002073632137e-06
südameasi,341.7981086753997,2.589867333057503e-76,0.0015313935681470138,4.453344958567399e-06
sputnik,327.32353641073587,3.679016989319231e-73,0.0015313935681470138,4.649131274473997e-06
meediaväljaanne,323.39870090144353,2.63392022329878e-72,0.0015313935681470138,4.7052214082202125e-06
rahastatav,320.9297665844993,9.086128048152506e-72,0.0015313935681470138,4.741203758170614e-06
vastandumine,313.2612488106415,4.25397933815269e-70,0.0015313935681470138,4.856558938893961e-06
provokatsioon,308.7257164264386,4.1382869947363384e-69,0.0015313935681470138,4.9274653343844594e-06
intervjueerima,294.5877146115742,4.976928036925001e-66,0.0015313935681470138,5.162408913472379e-06
veenma,290.59493455830636,3.6891465754039336e-65,0.0030627871362940277,2.0792506749280816e-05
uudis,284.1339323673939,9.435475079342721e-64,0.009188361408882083,0.000186270042649128
ajakirjandus,271.7211757350402,4.7839963084952924e-61,0.004594180704441042,4.963236023452801e-05
elukutseline,253.57370964701593,4.3187731477925803e-57,0.0015313935681470138,5.99106126674193e-06
ajakirjanik,247.41792770031856,9.492185178845522e-56,0.006125574272588055,9.595857749126025e-05
kommunikatsioon,245.92965080956378,2.003738972553479e-55,0.0030627871362940277,2.450927183827528e-05
maia,234.5254564567682,6.144079122321834e-53,0.0015313935681470138,6.473648077841439e-06
soodustav,234.17803693487045,7.315048575968193e-53,0.0015313935681470138,6.483172817534192e-06
villem,229.67851885909315,7.005715053379005e-52,0.0015313935681470138,6.6091110423606e-06
ründamine,229.49321380481726,7.688909005807059e-52,0.0015313935681470138,6.614402564412129e-06
päevaleht,229.22665090678242,8.7901914537464e-52,0.0030627871362940277,2.6264998854972836e-05
kriitiliselt,212.41240210385524,4.088481218115877e-48,0.0015313935681470138,7.141438160744487e-06
inglis,209.8697194029405,1.4665246935232979e-47,0.0015313935681470138,7.227160817979269e-06
maailmapilt,184.45547829237776,5.1602734263938326e-42,0.0015313935681470138,8.2124422239741e-06
vastaspool,175.77465588992024,4.0554945726584235e-40,0.0015313935681470138,8.61353959548005e-06
eksitav,174.32345023088956,8.412970124711092e-40,0.0015313935681470138,8.68444599097055e-06
