SONAVORM,Votmesus,P-vaartus,Fookus suhteline sagedus,Referents suhteline sagedus
riigi,321.18625842702176,7.989322330586677e-72,0.0015228960947435784,0.0002880270700044545
riigikogu,270.4453602301361,9.074970525661406e-61,0.0009153577590745976,0.00011539010476888762
venemaa,234.5809802544002,5.975152392682191e-53,0.0011259710487731777,0.00021571101303942896
riik,226.77064760996385,3.0173919345365876e-51,0.0009234582702168507,0.0001473466647424858
miesi,180.55694222979315,3.662842540816944e-41,0.00010530664484928998,3.069082789887228e-08
eesti,169.65632452502769,8.794862893787229e-39,0.004520085217377216,0.0024630288947593763
ukraina,168.07714987643544,1.9460312605673403e-38,0.0005508347576732092,6.640013531141533e-05
kell,167.16198509664434,3.083522736943549e-38,8.100511142253076e-06,0.0007215625299906934
nato,137.4001916221706,9.857541687414739e-32,0.00041312606825490687,4.392704115856868e-05
missioonipreemia,130.40242543776003,3.345811500969217e-30,0.00010530664484928998,2.5081814524250793e-07
bidia,125.20403092793002,4.592181207287201e-29,5.6703577995771534e-05,0.0
putin,124.24956670590186,7.428726455637703e-29,0.0003078194234056169,2.3840423450961926e-05
ajateenistuse,113.61225600689662,1.5845195889482693e-26,0.00014580920056055536,2.31239513651848e-06
vene,113.34256775700999,1.8153778046069255e-26,0.0008748552033633323,0.00025479313660761705
lng,109.03946603552903,1.5908657239798564e-25,0.00012960817827604922,1.5906315286898288e-06
sotsiaal,106.56630115860176,5.540742265234656e-25,0.00011340715599154307,9.2813296783831e-07
krimmi,103.39324932507023,2.7480950982128678e-24,0.00021061328969857997,1.1174636268420428e-05
eestis,99.98512413817366,1.535460085689671e-23,0.0013122828050449984,0.0005316667364318572
castro,98.86995651320245,2.696391392758884e-23,0.00012150766713379614,1.6710626638730802e-06
luukase,98.20961070178188,3.763589435807791e-23,9.720613370703692e-05,5.947670785919386e-07
sõda,95.90260238832626,1.206766517910625e-22,0.0003321209568323761,4.319046128899574e-05
preemia,93.95172422520106,3.2331395516764963e-22,0.00025111584540984537,2.2157719438575478e-05
kremli,93.58395976411995,3.89330018885908e-22,0.00019441226741407383,1.0746022982246521e-05
elumaleva,89.43145066280715,3.1744960647929982e-21,4.050255571126538e-05,0.0
ajateenistus,87.51327897674066,8.371586369802812e-21,0.00010530664484928998,1.3482798187297684e-06
euroopa,84.79091890895523,3.316440777146195e-20,0.0016444037618773746,0.0007971117069292035
laste,83.52564009058754,6.289490585425722e-20,0.0007209454916605238,0.00022737670255423134
sõnul,83.06007719221088,7.959712415517665e-20,4.050255571126538e-05,0.0004768127022368797
putini,82.49930096779971,1.0570751194470227e-19,0.00021061328969857997,1.7192155145420007e-05
lasmann,81.74454752796514,1.5486323606441747e-19,5.6703577995771534e-05,5.7148438156520794e-08
rootsi,79.81701891763119,4.1073951326628317e-19,0.0005103322019619438,0.00012804001738527454
rubla,79.73952287908443,4.2716974572352265e-19,0.00018631175627182076,1.2971637157119915e-05
krimm,72.96963013488289,1.3166027083071648e-17,9.720613370703692e-05,1.7345609284914367e-06
protsenti,72.6455060201951,1.5515979659887148e-17,0.0006237393579534868,0.00019600855983276327
elumalev,71.54516053024572,2.7098439818266572e-17,3.2402044569012305e-05,0.0
põhiparadoksi,71.54516053024572,2.7098439818266572e-17,3.2402044569012305e-05,0.0
sõja,70.44374627994047,4.735800735415811e-17,0.0002673168676943515,3.914244691957552e-05
kibestunu,68.83747099825173,1.0692172032442689e-16,4.050255571126538e-05,1.2699652923671288e-08
riigireformi,67.50866065297697,2.0976363523008725e-16,9.720613370703692e-05,2.189631824922991e-06
teatrite,67.27247607921483,2.3645962519706857e-16,9.720613370703692e-05,2.211856217539416e-06
ütles,65.83168916825582,4.911220088292237e-16,0.00016201022284506153,0.0006549920076692188
lõksust,62.943370683478875,2.12735869078416e-15,6.480408913802461e-05,4.656539405346139e-07
kodakondsuse,62.80999947134431,2.2764017474854737e-15,0.0001377086894183023,8.486543066243338e-06
kurkov,62.77552613283987,2.316596464100763e-15,4.050255571126538e-05,2.5399305847342577e-08
ndate,62.41566554861632,2.7810222958730493e-15,6.480408913802461e-05,4.81528506689203e-07
poliitikas,61.82652148041787,3.750881606567013e-15,0.0001701107339873146,1.574227810330087e-05
kultuuri,60.62113457947842,6.918719277448174e-15,0.00031591993454787,6.577996892697604e-05
puusepp,60.33831142314638,7.987747600307483e-15,0.00010530664484928998,3.943242232799935e-06
rahastamise,59.96881775675422,9.637217080570424e-15,0.00017821124512956766,1.8615574577281496e-05
giulietto,59.84740281851354,1.0250452863769462e-14,4.050255571126538e-05,3.492404554009604e-08
vandenõunarratiivi,59.18115853237011,1.438041818541503e-14,3.2402044569012305e-05,5.291522051529703e-09
charleroi,58.192706668659795,2.376585145968135e-14,5.6703577995771534e-05,3.248994539639238e-07
lasmanni,58.08649484711204,2.508424734590638e-14,3.2402044569012305e-05,6.349826461835644e-09
piontkovski,57.814443103089616,2.880469566436456e-14,4.050255571126538e-05,4.3390480822543565e-08
poliitika,55.71457884718703,8.379455477291736e-14,0.0002673168676943515,5.119018432649835e-05
tuuletehnoloogia,55.59049670229196,8.925406974725548e-14,4.860306685351846e-05,1.714453144695624e-07
ühiskonna,55.13106322891775,1.1275477289774505e-13,0.0002916184011211107,6.160919124596034e-05
fukuyama,54.548988220914644,1.5162069110891877e-13,5.6703577995771534e-05,4.2332176412237625e-07
mittekangelase,53.6588703976843,2.385044017584521e-13,2.430153342675923e-05,0.0
appathurai,53.6588703976843,2.385044017584521e-13,2.430153342675923e-05,0.0
hoiuraha,53.6588703976843,2.385044017584521e-13,2.430153342675923e-05,0.0
soolestikufloora,53.6588703976843,2.385044017584521e-13,2.430153342675923e-05,0.0
ukrainas,53.554428851848705,2.515267468540165e-13,0.00015390971170280846,1.52670994230735e-05
the,53.487989791558334,2.6017858502596024e-13,3.2402044569012305e-05,0.00032362843036714634
pannoo,52.957196932812565,3.4089666588612683e-13,5.6703577995771534e-05,4.7517868022736733e-07
ebola,52.640663800739674,4.005102789229785e-13,7.290460028027768e-05,1.4646933038634219e-06
tuuliku,52.5848237539155,4.120611003917729e-13,8.910562256478383e-05,3.104006835427324e-06
rahva,52.57051102857683,4.150750591063396e-13,0.00039692504597040073,0.00011371375058296301
riigikogulaste,52.492531929064725,4.3188754469924583e-13,6.480408913802461e-05,9.048502708115793e-07
auto,52.052735630911755,5.40299035997711e-13,7.290460028027768e-05,0.0004095817979633742
elatisfondi,51.09926842771155,8.781101163075438e-13,3.2402044569012305e-05,1.799117497520099e-08
vandenõu,50.12996451115348,1.4389284069723974e-12,8.910562256478383e-05,3.4860547275477683e-06
eestlasteks,49.81685104018803,1.6878808686201708e-12,5.6703577995771534e-05,5.968836874125505e-07
lääneriikide,49.59883704360338,1.8862548466000877e-12,8.910562256478383e-05,3.5749522980134674e-06
erakondade,49.3996767255203,2.087800468950131e-12,0.00015390971170280846,1.725353680121775e-05
eetikakoodeksi,49.38439256651993,2.1041302441795674e-12,5.6703577995771534e-05,6.159331667980574e-07
venemaaga,48.64136034169333,3.073191651504084e-12,0.0001377086894183023,1.3340985396316688e-05
majanduse,48.48567477067558,3.327103994509048e-12,0.0002349148231253392,4.5444649682947394e-05
ühiskonnas,47.7648090702463,4.805406419405822e-12,0.00025921635655209844,5.613140761821678e-05
kremlis,46.97342801904868,7.195568372473111e-12,6.480408913802461e-05,1.2868981629320238e-06
ajateenistusse,46.7058809443796,8.248111108222633e-12,7.290460028027768e-05,2.055227164814137e-06
chiesa,46.580489959411494,8.79313748752643e-12,4.860306685351846e-05,3.6828993478646734e-07
raha,46.57008968922847,8.83993057846796e-12,0.0010044633816393815,0.0005076464012311433
kodakondsuspoliitika,46.51282885921595,9.102058766993142e-12,4.860306685351846e-05,3.704065436070792e-07
demokraatia,45.88300716684871,1.2553012753540026e-11,0.00018631175627182076,2.962723196651481e-05
donetski,45.35327457504018,1.6451271883674362e-11,8.100511142253076e-05,3.2056040588166943e-06
liberaalse,45.14553641094225,1.8292215487298692e-11,8.100511142253076e-05,3.24052810435679e-06
lääs,44.07804849154971,3.15539797909988e-11,8.910562256478383e-05,4.652306187704915e-06
agressiooni,43.58023849731198,4.069275447469795e-11,7.290460028027768e-05,2.459499449551006e-06
julgeoleku,43.53079943547732,4.173389535933909e-11,0.00014580920056055536,1.811922980884801e-05
etendusasutuste,43.46738538553851,4.310846457915184e-11,4.860306685351846e-05,4.794118978685911e-07
riigipidamise,43.343397243116705,4.592834228538805e-11,4.050255571126538e-05,1.9366970708598714e-07
vanemaga,43.28410309011977,4.734141451906139e-11,7.290460028027768e-05,2.5018316259632435e-06
kirikukogu,43.086906648556706,5.2361501481525145e-11,8.100511142253076e-05,3.6088180391432574e-06
km,42.29913185257143,7.832732173232525e-11,1.6201022284506153e-05,0.0002305569073072007
toimub,42.21257822951327,8.187174097564376e-11,8.100511142253076e-05,0.0003764346455281819
kapitali,41.865912901097474,9.775198376546901e-11,0.00012150766713379614,1.2239290505188203e-05
niinimetet,41.38195234017306,1.2520803748938944e-10,3.2402044569012305e-05,6.561487343896832e-08
andestamine,41.28291348732163,1.3171522034784224e-10,5.6703577995771534e-05,1.1112196308212377e-06
parlamendis,41.28289446576424,1.3171650209487609e-10,0.00012960817827604922,1.4692440128277375e-05
kiriku,40.98085090939571,1.5372807923530236e-10,0.0003078194234056169,8.784244096862399e-05
eliitkoolide,40.84398099409764,1.648802984028596e-10,4.050255571126538e-05,2.4975984083220197e-07
venemaal,40.403596106871966,2.0656055860255357e-10,0.00022681431198308614,5.070442260216792e-05
lapsega,40.34595869888125,2.1274504617188103e-10,0.00021061328969857997,4.3925982854158375e-05
kooseluseaduse,39.54057092481289,3.21314112131752e-10,8.100511142253076e-05,4.349631126357416e-06
