LEMMA,Votmesus,Fookus suhteline sagedus mil.,Referents suhteline sagedus mil.
lasmann,99.76084934533205,105.30664484929,0.06561487343896832
missioonipreemia,94.89114491430433,121.50766713379615,0.29103371283413365
elumalev,90.10562256478384,89.10562256478384,0.0
mies,89.04826337012958,129.60817827604922,0.4667122449449198
euron,78.91501539572255,81.00511142253076,0.039157263181319804
palgalõht,73.90460028027769,72.90460028027769,0.0
tekkinud,72.4478348800352,72.90460028027769,0.02010778379581287
bidia,65.80408913802461,64.80408913802461,0.0
üksikem,65.80408913802461,64.80408913802461,0.0
vabakond,60.623803489556416,72.90460028027769,0.2190690129333297
sattunud,60.5495416835563,64.80408913802461,0.08678096164508713
jõuluv,57.70357799577153,56.70357799577153,0.0
kurkov,55.927915215808326,56.70357799577153,0.03174913230917822
allians,52.63456892120042,56.70357799577153,0.0963057013378406
ratsionalist,52.56436380465039,64.80408913802461,0.25187644965281386
pikamägi,51.63761495878153,56.70357799577153,0.11747178954395941
donetski,51.4097815331393,105.30664484929,1.067829149998694
lng,49.61070738638452,137.7086894183023,1.7959425842891812
pensioniea,49.603066853518456,48.603066853518456,0.0
käibem,49.603066853518456,48.603066853518456,0.0
klaipe,49.603066853518456,48.603066853518456,0.0
inkrementalist,49.603066853518456,48.603066853518456,0.0
tuuletehnoloogia,48.599858334249284,56.70357799577153,0.1873198806241515
vandenõunarratiiv,48.37439090377458,48.603066853518456,0.025399305847342575
kodakondsuspoliitika,47.89948376589483,72.90460028027769,0.5429101624869476
euros,46.181854623804824,48.603066853518456,0.07408130872141584
toimunud,45.977064925204346,56.70357799577153,0.2550513628837317
etendusasutus,43.07461785204638,81.00511142253076,0.9037919664012734
arvatud,41.50255571126538,40.50255571126538,0.0
survel,41.50255571126538,40.50255571126538,0.0
kirjutatud,41.481547491962495,48.603066853518456,0.195786315906599
suhtlemiskord,41.44486762231874,48.603066853518456,0.19684462031690497
charleroi,41.184559452673575,56.70357799577153,0.4010973715059515
pandud,40.8540159326617,40.50255571126538,0.01587456615458911
mõeldud,40.8540159326617,40.50255571126538,0.01587456615458911
